essay_id	essay_set	essay	essay_score	Foreign languages	Genre	Months of PT	Mother tongue	Nationality	Number of words	Topic	Type of text
nl020CAITI	healthy habits	" Eu acho que tenho uma vida saudável. Eu não estou gorda e faço exerciso o na academia trèés po vezes por semana. Eu gosto de fazer bicicleta e de caminher. Caminho todos dos días, na universidade, ou aventer a cidade de Lisboa ou nos outros lugares. 
Eu tenho uma alimentação saudável, como muitos  legumes e b bebo  muito água e chá. Não é dificil, comer muitos legumes, porque eu gosto de legumes. E eu gosto de  E de ven em quando eu gosto de um copo de vinho... 
"	1	English	informative	0	Dutch	Dutch 	81	Health and body care	IT
ja010CAATI	Saramago doesn't know if Portugal will still exist within 50 years	"Concordo com a idéia de Saramago em que há possibilidade de que o Estado português podessa desaparecer. Embora o governo se tenha esforçado a para reformar a economia e melhorar a situação, não conseguiuiu. Nos sentidos ambos bom e malu, os portugueses são muito optimisticosas, ficando contentes com o sol e com os cafés. Na vida as vezes não faz sentido em preocupar-se com as coisas e neste caso ser português é melhor comparado com o facto de que os japoneses se preocupam-se demais. Mas quando houver o problema mais greave, que pode influenciar a nossa vida, como a crise, não há tempo para tomar o sol nem o beber café. Tem de se trabalhar, e esforçar-se para melhorar a situação, a economia a vida. Os japoneses trabalhavam mesmo muito depois da Segunda Guerra Mundial, pois houve a o riscao de o Japão ser integrado com nos Estados Unidos. Embora a educação escolar ainda mantessem-se ser feito se mantivesse em Japonês, o currículo foi como os Americanos definiram, ou seja, o Japão tornou-se ficou sob o controlo dos Estados Unidos. Mas, mesmo assim, ainda hoje mantiemos o nosso próprio país graças do ao esforçao das gente pessoas naquela eépoca. Se o povo português quiser manter o  próprio país, acho que tem de reduzir os intervalos para tomar café e parar de dizer ""Já agora"". Ou se calhar, mesmo que o Estado português desapareceça vai dizer: ""Já agora não temos  nosso país... então vamos tomar cafeé"" e  continuar de a ser feliz assim também.
"	4	English	opinion	30	Japanese	Japanese	235	Culture and philosophy	IT
zh058CVATD	The more the the means for communicating, the less we have to say to each other	"Hoje em dia, com o desenvolvimento dea tecnologia, os meios para comunicar aumentam. Aleém deo teelemóvel, que foi uma invenção grande antigamente, hoje comunicamos agora imediatamente por SMS, email ou Skype.
Nos dia tempos modernos,  que consideramos sempre a velocidade, enviar cartas é um acto, posso dizer, fora doe modoa. Temos de procurar um papel, um envelope, escrever por à mão... Chega! É complicado! Se quisermos co contactar, só liguemos a internet e falemos no Skype!
Por isso, menos e menos pessoas enviam cartas. Duvido que os correios ainda tenham negócio.
Entretanto, estes meios de comunicação realmente ajudam-nos a comunicar? Não tenho certeza. Como uma estudante no estrangeiro, eu nunca enviei uma carta para a minha famiília, nem para os amigos. Por causa dea diferença temporal, deixei sempre as em mensagensm por email para eles. Assim, podemos ""comunicar"". Em De facto, não quero usar a palavra ""comunicar"", só pot posso tratar este acto por ""trocar informações"". Eu e os amigos trocamos informações dos em ambos lados, mas claramente não estamos a comunicar.
A tecnologia hoje em dia fecilita a nossa vida e poupa-nos muito tempo. É bom termos tecnologia, especialmente, quando nós estamos sempre ocupados. Nós estamos tão ocupados que não temos tempo para jantarmos com a famiília, nem para falarmos de coisas interessantes na escola, nem para darmos beijinhos a quem amamos. A O ritmao da nossa vida é tão rápido como o desenvolvimento dea tecnologia, que não nos permite parar para ver claramente o que está a acontecer neste mundo,. aAliaás aquilo que é está perto de nós.
Por mais meios de comunicasção que tenhamos, se não quisermos comunicar em na verdade, não comunicamos. De que maneira que quer, comunicamos por pelao coração, mas não por pela teco tecnologia.
"	4	English	opinion	40	Chinese	Chinese	274	Technology and communication	DT
ar004CASTF	Letter for a magazine commenting on a poem	"Ler, escrever e estudar segundo as diversas literaturas do mondo são considerados como literatura.
A literatura é um dos ingrendientes da vida quotidiano. De facto, a literatura tem varias máscaras, encarna-se através de varias formas, as vezes aparece em forma de poesia, outras como contos ou seja novela, prose...
Assim o poeta Fernando Pessoa mostra a importância da literatura na vida pessoal é  geral. No seu poema intitulado ""Liberdade"" começa por descrever burlando-se (indirectamente) das pessoas que não importam-se  a literatura dizendo que o facto de não cumprir um ded dever é um prazer, e  quando  encontra-se obrigado a ler ou  fazer algum dever e não o cumpre. De repente afirma que o sol doira sem literatura.
Daí, a literatura sofre segundo o Fernando Pessoa. Está em momentos de crise.
 Dita crise, a crise literaria, deve-se à varios factores. Por uma parte a falta da liberdade de expressão e de escrever, a censura e a ditadura d exercida sobre a escritura escrita e aos escritores. Por outra, varios alheiam-se dea literatura em geral. Hoje em dia, a literatura precisa de fortes políticas e  vontade propria de cada um para salvá-la. Esta salvação deve ser feita por nós e não esperar ajudas ou intervenções de p inacessíveis ou esperar o Dom Sebastião que ""quer venha ou não"".
A literatura é nos e nos somos a literatura, ou melhor dizer dois caras de uma só moeda. Com ela, nos desenvolvemos, conhecemos o outro e aproximar-nos a ele. Ela, a literatura, através de nos também cresce e conjuga-se os seus letras.
Também, podemos acrescentar que através dos versos, das descrições, das expressões ou seja palavras, nos e a literatur ela; o ser humano e a literatura vivem, vivem para existir, desenvolver e exprimir o outro.
Por fim, a literatura e o ser humano precisam da liberdade, de um ambiente claro e transparente, e do trabalho e do esforço pessoal e comum.
"	5	French	formalLetter	6	Arabic	Moroccan	309	Culture and philosophy	FT
ru020CVETD	The ideal school	"Queria fal escrever um pouco sobre a escola ideal. Escolhi este tema por 2 rasões: A minha mãe era professora na escola secundária na Rússia e t falava muito sobre as vantágens e disvantagens de ensino na Rússia. E t Tambem Outra razão é e - eu gosto de estudar e também tenho a minha algumas opiniões opinião  como se podesse melhorar o ensino aos alunos nas escolas.
Alem disso acho que é sempre pr fosse melhor, se o na  turmas nas escolas fossem m pequenos,  máximum  10-15 alunos. Assim o professor pudesse dar mais atenção aos alunos, pudesse conhecer melhor cada de aluno, as partes mais fortes e as partes mais fracas deos cada alunos.
As condições da escola também é uma parte muito importante. Acho que o ensino fosse melhosr e os estudantes pudessem aprender o material novo mais rápido se as escolas useassem as tecnologias modernas. Fosse muito bom se cada um dos alunos pudesse usar o computador nas áulas, e não so nas áulas de informática, mas  outras também.
Finalmente, o educação fosse melhor se ap mao  modo de ensino do professor também fosse um puouco mais sábio. Na Rússia existem muitas escolas com  o grande número dos alunos.
Assim muitas vezes os professores não devem de dar trabalhar muitas horas e claro que ficam cansados. Acho que fosse melhor para os estudantes e para os professores se as horas do trabalho dos professores tivessem limites.
No entanto acho que o modo de ensi
Se ad minhas propostas se fossem realizadas, acho que o ensino nas escolas fosse melhor e os estudantes andassem a escola com mais alegres.
"	2	Chinese	opinion	6	Russian	Russian	244	Education	DT
zh140CVITI	present yourself	"Olá. Eu sou chamao-me (CF) FFLL. Eu tenho 37 anos. Eu tenho os cabelos pretos e os olhos castanhos. Eu sou casada. Eu sou Chinesa, Eu sou meédica (CE) Chinesa. Eu moro em na (CF) Bobadela, na PP, É o XX (OT), Eu tenho dois 2 filhos. Um rapaz e Uma rapariga, A rapariga chama-se FFLL. Ela e tem 6 anos.  Máximo 60 palavras Ela estuda na no colega Colégio Oriente. O rapaz chama-se MMLL, Ele e tem 10 mêeses.
"	1	English	informative	_	Chinese	Chinese	68	Identification characterization and description of people and objects	IT
de064CVMTI	Write a letter about your holidays.	"Cara FF,
agora estou a morar em Portugal para aprender po Português português e também conhecer a cultura portuguesa. Na semana passada estive na região do Douro e foi ótimo! Agora há muitoas promoções por pela região do Duoro Douro e por isso, decidi que a vou a visitar.
Começei a minha viagem no Porto que é uma cidade ao no Norte de Portugal. Ali vi a o a ponte famosoa e visitei vaáriaos lugares na cidade. É lindiíssima! Também há uma livraria aqui que deu muita inspiração à autora deo Harry Potter. Eu sei que não te gostas muito dos livros dela, mas para mim foi interessante de visitar.
Claro, também tive prob que provar o vinho do Porto que é muito famoso no em todo o mundo. Para mim, não obstante, é muito doce. Prefiro outros vinhos da região que são muito populares também. Depois Po ficava de ficar no Porto, a viagem continuava ao lado do rio Douro. OAs paisagems são bonitíssimoas! Há montanhas onde ficam as quintas de vinho. Também visitei uma quinta e participei num percurso guído guiado. Aqui uma pessoa da quinta explicou ao grupo como se produce produz o vinho. Foi interessante e aprendi muitas coisas da produção. Durante a viagem, comi muito porque a cozinha da região do Douro é deliciosa. Depois de quatro dias regressei a Lisboa onde o meu tempo está quase a chegar ao fim.
Gostaria de ter mais tempo aqui  mas também estaraei feliz quando encontrar-nos  nos encontrarmos nos depois da palavra ""quando"" tem de colocar o pronome antes do verbo. Eu sei que foste nà Albania e gostaria de olhar saber da tua viagem.
Até logo e beijinhos,
FF
P.S.: Eu sei que adoras as bebidas doces como o vinho do Porto, portanto trarei levarei uma garraffa para ti!
"	3	English,Spanish,Portuguese,French	personalLetter	_	German	German	259	Travel	IT
zh068CVETI	The labour market situation in the country of the informant	"A situação do emprego do meu país
Hoje em dia, não é muito difícil arranjar um emprego em Macau. Porque, nos últimos anos, a economia de Macau  tem desenvolvido muito rapidamente. Agora, há cada vez mais pessoas que viagam em Macau e, naturalmente, construem-se mais hotelis e casinos para atrair mais turistas. Portanto, o sector do turismo exigem muita mão-de-obra e oferece a maioria dos postos de trabalho.
No entanto, os trabalhadores de Macau estão perante uma competição com os da China e de outros países do sul da Ásia, nomeadamente das filipinas. Eles são bem instruídos e aceitam uma remuneração mais baixa. Assim, as empresas preferem-nos. Além disso, há muitos trabalhadores ilegais, vindo da China,  ocupam os lugares nas obras de construção. Isto leva os trabalhadores de Macau a ficar desemprego e é um problema que continua por ser resolvido.
"	2	_	informative	11	Chinese	Chinese	141	Society economy and politics	IT
zh062CVE3TF_2	Recounting a walk	"No ano passado, estava a viver vivi em Minoh, uma cidade em Osaka, oeste do Japão, por durante 1 ano para aprender a lingua e cultura japonesa. E numas férias em Julho, tive o meu passeio mais especial.
Fui à ilha que se chama-se Shikoku com os amigos que conheci lá e fomos juntos a Shikoku do num carro alugado. Este Esta foi a primeira vez que conduzi em lugares desconhidos e estive estava muito nervosa.
De Minoh para Shikoku demoram-se cerca de 4 horas de carro. Quando chegámos no campo do ao parque de campismo, jaá estava muito escuro. Nós ficámos lá por durante 3 dias. Nadámos no rio, subimos a montanha, fazer fizemos piquenique perto do rio e também descançaámos um pouco.
Também foi a minha primeira vez para a fazer campismo. Embora estive estivesse um pouca cansada, porque não dormi bem à noite, foi uma experência maravilhosa!
No último dia, fomos ao centro  cidade e a fazer de turista de manhã. Começámos a voltar para o regresso a Minoh à tarde e chegámos a Minoh muito tarde.
NO segundo dia segundo, No dia seguinte dormi todo o dia porque estive estava exauste depois de este conduzir tal longo. conduzir tanto!!
"	2	English	recount	8	Chinese (Cantonese)	Portuguese	178	Travel	FT
nl065CAITI	Present yourself aond someone else	"Eu chamo-me MM, sou belga e morar em Gooreind. Eu sou o estudante na ISEG. Eu sou baixo, magro e eu tenho os cabelhos curto e castanho. Normalmente, eu sou felis, calmo e otimista. 
Meu irmão chama-se o MM, ele tenho 20 anos e estuda em Gent. O K tem uma namorada. Todos os fins de semana, ele bebe as cervejas com amigos. 
"	1	English	informative	0	Dutch	Belgian	63	Identification, characterization and description of people and objects	IT
fr030CAMTI_1	If you were a model of a publicity campaign, where would you like to be photographed and which outfit would you choose?	"Se eu fosse fotografada, eu gostaria que fosse na universidade, numa sala de aula com o meu dicionário de português e alguns exercícios de gramática ao meu lado. Eu estaria sentada no médeio da sala trabalhando com o meu dicionário aberto numa certa página. Eu acho que os estudantes, os jovens de hoje são o futuro duma cidade, são o povo de amanhã. A chave do sucesso é a educação e cada pessoa deveria ter a oportunidade de estudar. O tema da minha fotografia seria a importância da educação e a minha frase seria uma destas:
- Lisboa, fazer da educação uma prioridade
- Lisboa sou eu, o vosso amanhã
- Lisboa, tudo começa aqui.
- Lisboa: uma cidade cheia de oportunidades.
Muito bem escrito, como sempre!
"	3	English	opinion	12	French	Canadian	121	Identification characterization and description of people and objects	IT
ja027CAMTF	What would you do if you belonged to the group Show Me Lisbon?	"Se pertencesse ao grupo Show Me Lisbon, divulgaria um pacote de Shopping em Lisboa. Como muitas pessoas sabem que os preços das coisas são mais  baixaos do que  noutros país  em Portugal    e muitas pessoas devem querer fazer compras. Tem Há pessoas que teêm marcas favoritas, mas não sabem onde  encontrar e como chegar para a à loja. Se as lojas ficam longe, gastam de tempo só por no transporte. Quem prefere ir para o Outlet, demora muito pelo tempo à espera do autocarro e aàs vezes precisa de um dia soó para ir e voltar. E também para turistas  fora doa EU UE podem fazer ter   ""Tax Free"". Para quem vier pela primeira vez, o procedimento de Tax Free é muito complicado e stressante.
Eu também  teive algum a experieência  que voltei para o Japão de voltar para o Japão sem comprar o que eu queria, porque não teive tempo ou acabei comprando por comprar com  preço alto.
Para não acontecer a mesma coisa com outras turistas, quero organizar um pacote que satisfaze satisfaça as compras das turistas.  Mais que as turistas gastam no Portugal Se os turistas gastarem mais em Portugal, será boa bom para a economia doe Portugal também (também)
"	3	English	opinion	_	Japanese	Japanese	171	Identification characterization and description of people and objects	FT
pl049CAATF_2	The experience of living in Portugal	"Surpeendentemente, A Mudança para Portugal não foi difícil por mim.Muito Acostumei-me ao estilo de vida portuguesa muito rápido. Acho viver aqui muito mais fácil do que na Polónia, por isso não tinha muitos problemas para me adaptar. A única coisa que não foi era fácil foi o uso da língua portuguesa - ainda hoje às vezes tenho tenho medo de não compreender alguém ou não ser bem compreendida. Mas hoje veio uma diferença visível - as aulas na universidade já não são problemáticas por mim, facilmente consigo facilmente fazer as compras na mercearia ou vegeteas na feira. 
Também tinha um pequeno problema com uma adaptação ao ambiente universitário - na Polónia a vida académica parece  totalmente diferente. Mas revelou-se que os professores e amigos de turma são simpa muito simpáticos e isso ajudou me um pouco. 
A única coisa da qual tenho saudades é cozinha polaca. Não havia um dia quando não pensava sobre os pratos deliciosos da m feitos pela minha mãe, mas consigo vencê-lo porque em geral a vida aqui é por mim mais fácil. 
"	4	English	recount	18	Polish	Polish 	170	Daily life	FT
pl012CAITF	The informant's life in Lisbon, his daily routine and future plans	"Lisboa é  país em Portugal. É muito velha e é bonita.  Praia é não longoe e o tempo é ótimo. Eu muito gosto muito de ir áà praia e áao mercado em naem Lisboa.
Normalmente EU levanto-me às 8.30h. EU temo tenho tomo  pequeno-almoço às 9h. EU vão às 10h no metro para  Universidade de Lisboa. Eu estudo Geografia. EuA minha faculdade é o IGOT. À tarde EU estudo estou na em casa e estaudo ou ouviroouço da música. Eu costumo jantar em casa às 10h com  minhas amigas. EU vaõvou para a cama ás 12 horas da noite. Eu moro nao PP. Ao Sábado eEu gosto de ir com ami os  amigos áo Bairro ou  Cais do Sodreé.
"	1	English	recount	_	Polish	Polish	111	Daily life	FT
ja038CAMTI_2	 Technology advances	"Hoje em dia, muitas pessoas têm seu teremóvel. Concordando o texto, sobre o uso do teremóvel, há muitas vantagens e desvantagens ao mesmo tempo.
O teremóvel tem muitas funcionalidades. Por exemplo, nós podemos comunicar com muitas pessoas em todo o mundo.
Apesar disso, o uso muito de teremóvel pode causar de fazer mal para nossa saúde. Por exemplo, olhar para muitas imagens na ecrã é não bom para nossos olhos. Além disso, o uso do teremóvel pode causar de diminuir as comunicações com as familias ou os amigos no mundo real. 
Graças ao teremóvel, ficou mais fácil para fazer muitas coisas. No entanto, é muito importante para nos pensar na relação com o telemóvel. 
"	5	English	opinion	24	Japan	Japanese	128	Technology and communication	IT
en085CAATI	Comment a text on Portuguese onomatopeias	"Concordo com o cronista que, muitas vezes, as palavras onomatopeiacas não  aproximam fielmente os sons que querem imitar. Isto é evidente quando se nota que várias linguas têm palavras diferentes para descrever ou imitar um som; por exemplo as ""palavras"" de um cão ou um gato. Ainda que as palavras em estas linguas diversas sejam diferentes, não podem imitar bem o mesmo som. Além disso, como o autor descreve, o som de bater à porta em inglês é, se calhar, bem superior. Contudo, todas as linguas não têm os mesmos sons fonéticos de maneira que um falador de chinês não pode fazer um som como 'ck' em inglês. Na verdade, acho que é melhor que não tenhamos onomatopeias, e  usamos só uma palavra que descreve o que acontece como 'bater à porta'.
"	4	Italian,Portuguese,Latin	opinion	_	English	American	127	Language	IT
de047CAITI	Description of the informant using certain verbs	"Chamo-me FF e tenho vinte anos. Eu sou de Berlim, da Alemanha, mas moro em Lisboa. A minha profissão é estudante, mas vou ser advogada. Em Lisboa, vivo na Estefânia. A minha casa é muito bonita. Falo muito bem inglês e alemão, também falo mais ou menos francês e um pouco de português.
Eu gusto ode café e ode gelado. Eu bebo dois cafés por dia. Também gusto de cozinhar.
Eu tenho três irmaoco irmãos, nós somos uma família grande.
"	1	English	informative	_	German	German	78	Identification characterization and description of people and objects	IT
it057CPATI	Comment on immigration	"""Aquele que imigra é como o que vai ao fundo dos abismos onde nem a morte chega sem medo, para daí trazer uma imagem amada, a imagem da terra em que se criou""
Todos, pelo menos uma vez na nossa vida, tivemos o desejo de partir para encontrar o nosso destino, para nós perceberemos o sentido da nossa existência. Mesmo que não se trate de uma viagem verdadeira, feita de comboio, de carro ou de avião, cada um de nos, partiu. Conhecer uma pessoa é uma viagem. É possível viajar, ficando em casa tranquilamente, lendo um livro ou vendo um filme.
""Quem parte, sabe do que está a fugir, mas não sabe do que vai em buscana procura""*1; ir ""ao fundo dos abismos"" gera medo, mas também é verdade que, sem que se faça isto, sem risco nenhum, não se pode ser capazes de reconhecer o bom que a vida nos oferece, assim  ""trazer uma imagem amada""
Geralmente, perdemos o nosso tempo em correr de um lado para umo outro, sem poôr atenção no que está ao nosso redor e esquecemosesquecemo-nos de olhar a fundo para as coisas que fazemos todos os dias e  que gostamos, mas não sabemos de gostarapreciar, pelo menos, até nos irmos-nos embora (""Passa-se muito fora de Portugal para que Portugal seja mais nosso"").
Partir é uma moeda que tem duas faces: se de um lado o sentimento que nos anima é a curiosidade de descubrir o que está além do nosso cantinho,  ""fome"" de saber, de conhecer as intermináveis diversidades que estão no mundo à nossa volta, do outro, o ""aborrecimento"" sugere fugir a fuga dos ""pensamentos e das suas consolações"".
Seja o que for, viajar é uma grande oportunidade como também um grande desafio que a vida põe à nossa frente.
Podemos viajar em cada momento do nosso dia, olhando para tudo com curiosidade e vontade de descu compreender.



*1 cit. ""Ricomincio da Tre"" - film de Massimo Troissi
"	4	Portuguese,English,French	opinion	_	Italian	Italian	316	Society economy and politics	IT
ro023CAITF	Letter to a friend telling about the informant's life in Portugal	"Olá, amiga! 
Tudo bem? Eu viu teu e-mail onde tu me pediste descrever a minha vida em Portugal. Como tu sabes, eu nunca tive uma vida tranquila e aqui não é tambem. Tenho sete aulas, seis sobre psicologia e uma de portuguese. 
Tenho muitos amigos e para primeira vez em minha vida tenho uma colegua de quarto mais ela é muito simpática. Ela goste muito de saír e de dançar, estívemos juntas umas vezes para comer bacalhau tambem. 
Gosto muito de ir para a praia mais não sei porque não posso aprender nadar. 
Em onze dias eu vou acabar e vou ir para casa. Sinto felicidade mais tambem tristeza porque este cidade é tão bonito e vou extranar muitas pessoas. 
Até já! 
Beijinhos! 
"	1	English	personal letter	0	Romanian	Romanian	123	Daily life	FT
es086CAMTI3	Describe a symbol of Portugal	"A imagem 2 pertence ao naturalismo deo o seculo XIX. Esta é uma obra muito real, todos os seus objetos estam bem detalhados. O naturalismo é o movimento artístico que destaca o mundo natural a seu ralidaderealidade e esaesta é a realidade da imagem 2.

Na obra temhá as arbolesárvores, os animais, as pessoas, o ambiente é tal  cualqual é  na vida real, parece uma fotografia. Então como conclusão, na obra 2 é um perfeito exemplo deo o movimento artístico deo naturalismo.
"	3	English,Portuguese	informative	_	Spanish	Spanish	75	Identification characterization and description of people and objects	IT
zh062CVE3TI_1	E-mail to a friend telling about vacations in a north european country	"Querida FF,
Olá, como estás?
Agora estou em Oslo, faço as minhas férias. Infelizmente, o tempo cá está mau, sempre está a chuver e está muito frio. Mas conheçi muitos lugares interessantes e também encontrei muitas pessoas giras e simpáticas nos bares. Os paisagens cá são deslumbrantes. Nós temos de veir juntas novamente quando o tempo está melhor.
Fiquei doente por dois dias. Acho que comi alguma coisa estragada. Mas está melhor agora depois de tomor remédios. Vou escrever novamente e um abraço para ti.
Benjinhos,
FF
"	2	English	eMail	8	Chinese (Cantonese)	Portuguese	87	Travel	IT
zh120CAATF	Letter to the Portuguese Culture Department suggesting cultural activities	"Lisboa, 22 de Maio de...
Ex.mo Senhor Director, Senhor,
Venho por este meio sugerir algumas atividades culturais ligadas à Natureza para enriquecermos a nossa vida e tempos livres. nos cursos de Verão.
É melhor organizar uma competição de fotografias com o um tema de que se relacionae com àa Natureza, por exemplo, os animais, as plantas especiais, a harmonia entre a natureza e a humanidade, etc... Assim, podemos encorajar mais pessoas estudantes a participarem nesta actividade interessante para que a relação entre as pessoas nós e a natureza seja mais próxima e amigável. Depois de ter recolhido as fotografias, os cidadãos todas as pessoas podem apreciár-las pelaoa Internet, revista ou televisão e votarem por nas que preferidas. FNo fim, as obras melhores obras podem ser apresentadas aos públicos com um apelo de protejager a natureza e dar mais atenção aos nossa animais.
Além disso, acho bem que fiz faça uma viagem ""de ""Aproximamo-no ""Aproximamo-nos à Natureza"". A viagem para uma aldeia ou uma montanha, com paisagens maravilhosas e muitos tipos de plantas e animais. É melhor que haja uma guia ou algumas especialistas biológicas, com quem os estudantes podem conhecer a saber obter emais informações as sobre das plantas e dos animais, tendo uma bom melhor conhecimento sobre dáa Natureza.
Na minha opinião, estas duas atividades culturais são boas oportunidades para os estudantes se aproximarem-s à da Natureza e desfrutarem a vida. Muito obrigada pela sua atenção!
Subscrevo-me com toda a consideração.
FF
"	4	Portuguese	formalLetter	15	Chinese	Chinese	217	Services	FT
en035CVETF_1	What do you do in your spare time?	"Para mim, eu não gosto de passar o tempo livre  ver a televisão, eu acho que é bast não é muito sociavel. Prefiro estar com os meus amigos - ao fim-de-semana, normalmente saimos juntos, vamos ao cinema ou a um bar e depois a uma discoteca. se queremos.
Quando era mais joven, jogava muito o tenis e es era muito activa, e por isso, eu não crescia passava o tempo livre em casa porque gostava g de estar ao ar livre e - acho que isto é o razão porque nagora eu nao veio m a televisão frequentamente.
Infelizmente o tempo em Inglaterra é muito mau e por isso às vezes tenho de estar em casa em vez de estar ao ar livre, mas normalmente não passo o tempo livre  ver a televisão, eu uso a internet ou  telefono aos meus amigos.
Hoje em dia, na minha opinão, as pessoas passam demais tempo com a tecnologia e eu mas há muitas atividades que podemos fazer em vez disso. como fazer o desporte ou sair com amigos.
"	2	Spanish	recount	7	English	British	167	Free time and entertainment	FT
ro002CVMTD	Letter to a friend about beach vacations	"Querido Nuno,
Como vás vais? Tudo bem? Eu estou com uns amigos na praia de Ribamar, tão feliz mas ao mesmo tempo triste porque tu não estás connosco. Gosto muito doe olhar para os surfistas que não se querem deixar o mar todos os dias. As horas a cá passam lentamente e noós podemos divertir-nos na areia de manhã até à noite, tomar nadar no mar tão azul que se mexe confunde com o céu. Todas as manhãs noós tomamos os cafés na praia, perto do mar e ouvimos o som das ondas.
Tens de saber que os habitantes da cidade são estão muito felizes com os t a chegada dos turistas e querem oferecer-lhes os melhores momentos das suas vidas.
Tenho saudades tuas, Nuno. Nos vemos Vemo-nos em poucos dias.
Beijos,
Joana
"	3	English	personalLetter	18	Romanian	Romanian	124	Travel	DT
zh075CVMTF1	Draft for a gathering of friends	"Com a chegada de férias de verão, eu decidiu fazer um piquenique nestao fim-de-semana. Portanto, preciso de preparar muitas coisas previamente. A primeira é escolher o lugar. E por causa dos meus amigos gostariam de apanhar o sol, portanto, vou escolhar escolher a praia de Setúbal. Acho que aquela praia com água azul é  mais bonita e também com o espaço grande. Vou alugar um carro porque Setúbal não é muito perto de Lisboa. Além disso, eu vou preparar as comidas e bebidas. Por exemplo, bolos, arroz de com carne, sushi, sumo natural, água, vinho etc. Finalmente, eu vou trazer a C câmara de fotografia para tomar tomarmos os fotos. E também vou trazer as cartas para jogar depois de almoço. Acho que nós podemos conversar e ouvir muica  conjunto na praia.
Por Portanto, com tudo isto, penso que vai ser uma boa experência.
FF
"	3	_	recount	10	Chinese	Chinese	138	Free time and entertainment	FT
ro016CAITI	Present yourself	"Chamo-me o MM e sou romeno de Constanta. Eu sou vinte anos. Mais agora moro em Lisboa na PP. Falo inglês, romeno e um pouco de português. Eu gosto de praia e pasteis de nata. Estudou arquitetura a Faculdade de Arquitetura na Universidade de Lisboa. Minha irmã chama-se FF. Ele é deiseixente anos. 
"	1	English	informative	0	Romanian	Romanian	53	Identification, characterization and description of people and objects	IT
en041CVETD	Last vacations	"Nas minhas últimas férias, eu fui na ir a / para Ericeira. A Ericeira fica no norte de Portugal. Fui com os meus pais e a minha irmã. Ficámos no hotel  vinte minutos ò pe da praia. No primeiro dia, fomos a para a praia. Enquanto os meus pais falaram com alguns familiares, eu e a minhã irmã demos uma volta pela praia e tomámos banhos! A água estava muito frioa mas era muito divertido mergulhar com aquelas ondas. O tempo ficou maravilhoso - o céu era azul, o sol brilhava e era muito agradável. Eu vestei-me com uma mini-saia de algodão e um fato de banho. Hei- de voltar para para Er lá. no proximo ano.
"	2	_	recount	6	English	British	107	Travel	DT
tet006CVETI	The most important moments of the informant's life	"Eu não espero na minha vida que um dia irei a portugal como um pais  que eu custumava sonhar sempre quando eu era criança. Mas o meu sonho fiqueava sempre com uma imaginação e nunca vai ser realizar ateé que eu cresei como   um joven.
O tempo correu muito raápido e ateé  um dia eu recebi uma carta do meu emprego e pediua-me para ficar preparado  qualquer documentos necessaários para viajar a portugal para frequentar o curso de Lingua portugues na Universidade de Letras em Lisboa.
Esu estou muito contente na altura e finalmente  o meu sonho tornado , e esse é  os momentos que mais marcantes da minha vida porque ultimamente eu tenho ido ao portugal. Além de isso disso outra coisa que eu queria desenvolver é a minha capacidade na lingua por isso que com este oportunidade que me  ofereceu pelo emprego utilizo com o maáximo dentro duma mês para aprender a lingua. O meu objectivo em  futuro é um dia eu hei-de falar portugueês com muito bem e utiliza sempre os verbos na conversa e tambeém para melhorar o meu a minha capacidade no escrever carta e relatoório com formato adequado em portugueês. Por isso estou  tentar para domoinar mesmo este Liíngua que no futurao poderá dar uma suportae e apoio no desenvolvimento na minha carreira professionalismo.
"	2	_	recount	6	Tetum	East Timorese	214	Identification characterization and description of people and objects	IT
pl074CAITI1	Letter to a friend telling about the informant's life in Portugal	"Lisboa 26 de Janeiro de 2017 
Caro FF! 
Já estou em Lisboa desde de setembro. Eu gosto muito de Lisboa. Todos Todos os dias tenho aulas e tenho de estudar muito. Ao sabado eu corer corro con minha amiga, e dopois nos almoçamos jauntos. Eu tenho muitos amigos portugueses, eles são simpaticos.
Ao sabado à tarde nós jantamos juntos, e dopois vamos na bar ou discoteca. 
Tens vou de Vais aqui! 
E tu? Too Tudo bem? Como estás? Tenho saudades, Tens de escrever-me! 
Ate logo e beijinhos! 
"	1	English	personal letter	0	Polish	Polish 	81	Daily life	IT
